ID,text,response,av,ac,pr,ui,s,c,i,a
CVE-2016-0014,"Improper handling of DLL loading in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 Gold and 1511 causes an elevation of privilege when a crafted application is executed by local users. This issue, also known as ""DLL Loading Elevation of Privilege Vulnerability,"" allows attackers to gain unauthorized access and control over the affected system.","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0015,"Heap Corruption in DirectShow of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, and Windows 10 Gold and 1511 causes arbitrary code execution when a remote attacker sends a crafted file, known as ""DirectShow Heap Corruption Remote Code Execution Vulnerability.""","av: L, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",L,L,N,N,U,H,H,H
CVE-2016-0016,"Improper handling of DLL loading in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 Gold and 1511 causes potential elevation of user privileges when a specially crafted application is executed, also known as ""DLL Loading Remote Code Execution Vulnerability."" This vulnerability allows local users to execute arbitrary code in the context of the current user and potentially gain unauthorized access or control over the affected system.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0018,"Improper handling of DLL loading in Microsoft Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 R2, and Windows 10 Gold and 1511 causes unauthorized privilege escalation when a crafted application is executed, also known as ""DLL Loading Remote Code Execution Vulnerability.""","av: L, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",L,L,N,N,U,H,H,H
CVE-2016-0019,Security Bypass Vulnerability in the Remote Desktop Protocol (RDP) service implementation of Microsoft Windows 10 Gold and 1511 causes unauthorized access and potential data breach when a remote attacker uses a modified RDP client to establish sessions for blank-password accounts.,"av: N, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",N,L,N,N,U,H,H,H
CVE-2016-0020,"Improper handling of DLL loading in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, and Windows 7 SP1 causes an elevation of privilege when a crafted application is executed by local users, leading to potential unauthorized access and control, also known as ""MAPI DLL Loading Elevation of Privilege Vulnerability.""","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0021,"Memory Corruption Vulnerability in Microsoft InfoPath 2007 SP3, 2010 SP2, and 2013 SP1 causes arbitrary code execution when a crafted Office document is remotely exploited by attackers.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0022,"Memory Corruption in Microsoft Word 2007 SP3, Office 2010 SP2, Word 2010 SP2, Word 2013 SP1, Word 2013 RT SP1, Word 2016, Word for Mac 2011, Word 2016 for Mac, Office Compatibility Pack SP3, Word Viewer, Word Automation Services on SharePoint Server 2013 SP1, Office Web Apps Server 2013 SP1, and SharePoint Server 2013 SP1 allows remote attackers to execute arbitrary code when a crafted Office document is opened. This vulnerability, also known as ""Microsoft Office Memory Corruption Vulnerability,"" has a different impact than CVE-2016-0052.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0024,"A memory corruption issue in the Chakra JavaScript engine of Microsoft Edge allows remote attackers to execute arbitrary code when exploiting unspecified vectors, also known as ""Scripting Engine Memory Corruption Vulnerability."" This vulnerability can have a severe impact, potentially allowing unauthorized access and control over the system.","av: N, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",N,L,N,N,U,H,H,H
CVE-2016-0025,"Memory Corruption in Microsoft Word 2007 SP3, Office 2010 SP2, Word 2010 SP2, Word 2013 SP1, Word 2013 RT SP1, Office 2016, Word 2016, Word for Mac 2011, Word 2016 for Mac, Office Compatibility Pack SP3, Word Automation Services on SharePoint Server 2010 SP2, Word Automation Services on SharePoint Server 2013 SP1, Office Web Apps 2010 SP2, Office Web Apps Server 2013 SP1, and Office Online Server causes arbitrary code execution when a crafted Office document is opened by a remote attacker, also known as ""Microsoft Office Memory Corruption Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0026,"An Elevation of Privilege vulnerability in the Common Log File System (CLFS) driver of Microsoft Windows versions including Vista SP2, Server 2008 SP2 and R2 SP1, 7 SP1, 8.1, Server 2012 Gold and R2, RT 8.1, 10 Gold, 1511, 1607, and Server 2016 allows local users to gain unauthorized privileges. This occurs when a maliciously crafted application is executed, leading to potential system compromise. This vulnerability, known as ""Windows Common Log File System Driver Elevation of Privilege Vulnerability,"" is distinct from CVE-2016-3332, CVE-2016-3333, CVE-2016-3334, CVE-2016-3335, CVE-2016-3338, CVE-2016-3340, CVE-2016-3342, CVE-2016-3343, and CVE-2016-7184.","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0028,"Improper restriction of IMG elements in Outlook Web Access (OWA) in Microsoft Exchange Server 2013 SP1, Cumulative Update 11, and Cumulative Update 12 and 2016 Gold and Cumulative Update 1 causes information disclosure vulnerability, making it easier for remote attackers to track users when a crafted HTML e-mail message is loaded. This is also known as ""Microsoft Exchange Information Disclosure Vulnerability.""","av: N, ac: L, pr: N, ui: R, s: U, c: L, i: N, a: N",N,L,N,R,U,L,N,N
CVE-2016-0029,"Cross-site scripting (XSS) vulnerability in Outlook Web Access (OWA) component of Microsoft Exchange Server 2016 causes potential injection of arbitrary web script or HTML when a crafted URL is used by remote attackers. This issue, also known as ""Exchange Spoofing Vulnerability,"" is a different vulnerability than CVE-2016-0031.","av: N, ac: L, pr: N, ui: R, s: C, c: L, i: L, a: N",N,L,N,R,C,L,L,N
CVE-2016-0030,"Cross-site scripting (XSS) vulnerability in Outlook Web Access (OWA) within Microsoft Exchange Server 2013 PS1, 2013 Cumulative Update 10, and 2016 causes potential injection of arbitrary web script or HTML when a crafted URL is utilized by remote attackers. This issue, also known as ""Exchange Spoofing Vulnerability,"" can lead to unauthorized access and manipulation of web content, posing a significant security risk.","av: N, ac: L, pr: N, ui: R, s: C, c: L, i: L, a: N",N,L,N,R,C,L,L,N
CVE-2016-0031,"Cross-site scripting (XSS) vulnerability in Outlook Web Access (OWA) within Microsoft Exchange Server 2016 causes arbitrary web script or HTML injection when a crafted URL is utilized by remote attackers. This issue, also known as ""Exchange Spoofing Vulnerability,"" is a different vulnerability than CVE-2016-0029.","av: N, ac: L, pr: N, ui: R, s: C, c: L, i: L, a: N",N,L,N,R,C,L,L,N
CVE-2016-0032,"Cross-site scripting (XSS) vulnerability in the Outlook Web Access (OWA) component of Microsoft Exchange Server 2013 PS1, 2013 Cumulative Update 10, 2013 Cumulative Update 11, and 2016 causes potential security breaches when a remote attacker injects arbitrary web script or HTML via a crafted URL. This issue, also known as ""Exchange Spoofing Vulnerability,"" allows attackers to manipulate web pages viewed by other users, potentially leading to unauthorized access or information theft.","av: N, ac: L, pr: N, ui: R, s: C, c: L, i: L, a: N",N,L,N,R,C,L,L,N
CVE-2016-0033,"Recursive compilation of XSLT transforms in Microsoft .NET Framework 2.0 SP2, 3.5, 3.5.1, 4.5.2, 4.6, and 4.6.1 causes a denial of service (performance degradation) when remote attackers send crafted XSLT data. This issue, also known as "".NET Framework Stack Overflow Denial of Service Vulnerability,"" does not prevent the said recursive compilation, thereby affecting the performance of the system.","av:N, ac:L, pr:N, ui:N, s:U, c:N, i:N, a:H",N,L,N,N,U,N,N,H
CVE-2016-0034,"Negative offset mishandling during decoding in Microsoft Silverlight 5 before 5.1.41212.0 causes arbitrary code execution or a denial of service (object-header corruption) when a crafted website is accessed, also known as ""Silverlight Runtime Remote Code Execution Vulnerability.""","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0035,"Memory Corruption Vulnerability in Microsoft Excel 2007 SP3, Excel 2010 SP2, Excel 2013 SP1, Excel 2013 RT SP1, Excel 2016, Excel for Mac 2011, Excel 2016 for Mac, Office Compatibility Pack SP3, and Excel Viewer causes arbitrary code execution when a remote attacker uses a crafted Office document as an attack vector.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0036,"An Elevation of Privilege vulnerability in the Remote Desktop Protocol (RDP) implementation of Microsoft Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, and Windows 10 allows remote authenticated users to execute arbitrary code. The impact of this vulnerability is that it allows unauthorized access and control over the system when crafted data is sent via the RDP. This is also known as the ""Remote Desktop Protocol (RDP) Elevation of Privilege Vulnerability,"" referenced as CVE-2016-0036.","av: N, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",N,L,L,N,U,H,H,H
CVE-2016-0037,"A Denial of Service problem in the forms-based authentication implementation of Active Directory Federation Services (ADFS) 3.0 in Microsoft Windows Server 2012 R2 causes a daemon outage when remote attackers send crafted data. This issue, also known as ""Microsoft Active Directory Federation Services Denial of Service Vulnerability,"" allows attackers to disrupt the service, affecting the availability of the system.","av: N, ac: L, pr: N, ui: N, s: U, c: N, i: N, a: H",N,L,N,N,U,N,N,H
CVE-2016-0038,"Memory Corruption in Windows Journal of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, and Windows 10 Gold and 1511 causes arbitrary code execution when a remote attacker uses a crafted Journal file, known as ""Windows Journal Memory Corruption Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0039,"Cross-site scripting (XSS) vulnerability in the SharePoint Server component of Microsoft SharePoint Foundation 2013 SP1 causes potential unauthorized access and data manipulation when remote attackers send a crafted request. This issue, also known as ""Microsoft SharePoint XSS Vulnerability,"" allows attackers to inject arbitrary web script or HTML, potentially compromising the security and integrity of the system.","av: N, ac: L, pr: N, ui: R, s: C, c: L, i: L, a: N",N,L,N,R,C,L,L,N
CVE-2016-0040,"An Elevation of Privilege issue in the kernel of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, and Windows 7 SP1 allows local users to gain unauthorized privileges when a specially crafted application is executed, leading to a potential compromise of the system's integrity, also known as ""Windows Elevation of Privilege Vulnerability.""","av: L, ac: L, pr: L, ui: N, s: U, c: N, i: H, a: N",L,L,L,N,U,N,H,N
CVE-2016-0041,"Improper handling of DLL loading in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, Windows 10 Gold and 1511, and Internet Explorer 10 and 11 leads to a potential elevation of privileges when a maliciously crafted application is executed. This issue, also known as ""DLL Loading Remote Code Execution Vulnerability,"" allows local users to gain unauthorized access and control over the affected system.","av: L, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",L,L,N,N,U,H,H,H
CVE-2016-0042,"Improper handling of DLL loading in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, and Windows 10 Gold and 1511 can lead to privilege escalation when a local user executes a specially crafted application. This issue, also known as ""Windows DLL Loading Remote Code Execution Vulnerability,"" can potentially allow an attacker to execute arbitrary code with elevated privileges.","av: L, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",L,L,N,N,U,H,H,H
CVE-2016-0044,"Denial of Service vulnerability in the Sync Framework of Microsoft Windows 8.1, Windows Server 2012 R2, and Windows RT 8.1 causes a service outage of SyncShareSvc when remote attackers send crafted ""change batch"" data, also known as ""Windows DLL Loading Denial of Service Vulnerability"".","av: N, ac: L, pr: N, ui: N, s: U, c: N, i: N, a: H",N,L,N,N,U,N,N,H
CVE-2016-0046,"Arbitrary code execution vulnerability in Windows Reader in Microsoft Windows 8.1, Windows Server 2012 Gold and R2, and Windows 10 causes potential system compromise when a remote attacker delivers a crafted Reader file, also known as ""Microsoft Windows Reader Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0047,"An Information Disclosure vulnerability in WinForms of Microsoft .NET Framework versions 2.0 SP2, 3.5, 3.5.1, 4.5.2, 4.6, and 4.6.1 allows remote attackers to obtain sensitive information from the process memory. This security issue is triggered when the attackers use specially crafted icon data as an attack vector, leading to a potential breach of confidentiality. This vulnerability is also known as ""Windows Forms Information Disclosure Vulnerability.""","av: L, ac: L, pr: N, ui: N, s: U, c: H, i: N, a: N",L,L,N,N,U,H,N,N
CVE-2016-0048,"An Elevation of Privilege vulnerability in the kernel-mode drivers of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, and Windows 10 Gold and 1511 causes local users to gain unauthorized privileges when a specially crafted application is executed, also known as ""Win32k Elevation of Privilege Vulnerability.""","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0049,"Improper validation of password changes in Kerberos, a component of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, and Windows 10 Gold and 1511, causes a security feature bypass. This vulnerability allows remote attackers to bypass authentication when they deploy a crafted Key Distribution Center (KDC) and perform a sign-in action, also known as ""Windows Kerberos Security Feature Bypass.""","av: N, ac: H, pr: N, ui: N, s: U, c: H, i: H, a: H",N,H,N,N,U,H,H,H
CVE-2016-0050,"A misinterpretation of username queries in the Network Policy Server (NPS) of Microsoft Windows Server 2008 SP2 and R2 SP1 and Server 2012 Gold and R2 leads to a denial of service (DoS) impact. This occurs when remote attackers send crafted requests, also known as the attack vector. This vulnerability is specifically referred to as the ""Network Policy Server RADIUS Implementation Denial of Service Vulnerability.""","av: N, ac: L, pr: N, ui: N, s: U, c: N, i: N, a: H",N,L,N,N,U,N,N,H
CVE-2016-0051,"An Elevation of Privilege vulnerability in the WebDAV client of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, and Windows 10 Gold and 1511 causes local users to gain unauthorized privileges when a specially crafted application is executed, known as ""WebDAV Elevation of Privilege Vulnerability.""","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0052,"Memory Corruption Vulnerability in Microsoft Word 2007 SP3, Office 2010 SP2, Word 2010 SP2, Word 2013 SP1, Word 2013 RT SP1, Word 2016, Word for Mac 2011, Word 2016 for Mac, Office Compatibility Pack SP3, Word Viewer, Word Automation Services on SharePoint Server 2013 SP1, Office Web Apps Server 2013 SP1, and SharePoint Server 2013 SP1 allows remote attackers to execute arbitrary code when a crafted Office document is opened. This vulnerability, also known as ""Microsoft Office Memory Corruption Vulnerability,"" is different from CVE-2016-0022. The impact of this vulnerability is potentially severe, as it allows unauthorized modification and control of the system.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0053,"Memory Corruption Vulnerability in Microsoft Word 2007 SP3, Office 2010 SP2, Word 2010 SP2, Word 2013 SP1, Word 2013 RT SP1, Word 2016, Office Compatibility Pack SP3, Word Viewer, Word Automation Services on SharePoint Server 2013 SP1, Office Web Apps Server 2013 SP1, and SharePoint Server 2013 SP1 allows remote attackers to execute arbitrary code. The impact of this vulnerability is severe as it allows unauthorized modification of the system. The attack can be carried out by sending a crafted Office document, which when opened, triggers the vulnerability.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0054,"Memory Corruption Vulnerability in Microsoft Excel 2007 SP3, Excel 2010 SP2, Excel 2013 SP1, Excel 2013 RT SP1, Excel 2016, Excel for Mac 2011, Excel 2016 for Mac, Office Compatibility Pack SP3, Excel Viewer, Excel Services on SharePoint Server 2007 SP3, Excel Services on SharePoint Server 2010 SP2, Excel Services on SharePoint Server 2013 SP1, and Office Web Apps 2010 SP2 allows remote attackers to execute arbitrary code. The impact of this vulnerability is that it can compromise the security of the system when a user opens a crafted Office document.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0055,"Memory Corruption problem in Microsoft Office 2007 SP3 causes arbitrary code execution when a crafted Office document is remotely attacked, also known as ""Microsoft Office Memory Corruption Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0056,"Memory Corruption in Microsoft Word 2007 SP3, Office 2010 SP2, Word 2010 SP2, Word 2013 SP1, Word 2013 RT SP1, Word 2016, and Office Compatibility Pack SP3 causes arbitrary code execution when a crafted Office document is opened by a remote attacker, also known as ""Microsoft Office Memory Corruption Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0057,"Improper signing of an unspecified binary file in Microsoft Office 2007 SP3, 2010 SP2, 2013 SP1, and 2016 causes a security feature bypass vulnerability, allowing local users to gain unauthorized privileges when a Trojan horse file with a crafted signature is used as an attack vector. This issue is also known as ""Microsoft Office Security Feature Bypass Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: C, c: H, i: H, a: H",L,L,N,R,C,H,H,H
CVE-2016-0058,"Buffer overflow problem in the PDF Library of Microsoft Windows 8.1, Windows Server 2012 Gold and R2, and Windows 10 causes the execution of arbitrary code when a remote attacker triggers API calls via a crafted PDF document, leading to a potential security breach, known as ""Microsoft PDF Library Buffer Overflow Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0059,"An Information Disclosure Vulnerability in the Hyperlink Object Library of Microsoft Internet Explorer versions 9 through 11 causes potential exposure of sensitive process memory data when a crafted URL is embedded in an (1) e-mail message or (2) Office document. This vulnerability allows remote attackers to gain access to confidential information, posing a significant security risk.","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: N, a: N",N,L,N,R,U,H,N,N
CVE-2016-0060,"Memory Corruption in Microsoft Internet Explorer versions 9 through 11 and Microsoft Edge causes arbitrary code execution or a denial of service when a user visits a crafted website. This vulnerability, also known as ""Microsoft Browser Memory Corruption Vulnerability,"" is distinct from CVE-2016-0061, CVE-2016-0063, CVE-2016-0067, and CVE-2016-0072.","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0061,"Memory Corruption problem in Microsoft Internet Explorer versions 9 through 11 and Microsoft Edge causes arbitrary code execution or a denial of service when a user visits a crafted website. This vulnerability, also known as ""Microsoft Browser Memory Corruption Vulnerability,"" is different from CVE-2016-0060, CVE-2016-0063, CVE-2016-0067, and CVE-2016-0072.","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0062,"Memory Corruption problem in Microsoft Internet Explorer 11 and Microsoft Edge causes arbitrary code execution or a denial of service when a user visits a crafted web site, also known as ""Microsoft Browser Memory Corruption Vulnerability.""","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0063,"Memory Corruption problem in Microsoft Internet Explorer versions 9 through 11 causes arbitrary code execution or a denial of service when a user visits a crafted website. This vulnerability, also known as ""Internet Explorer Memory Corruption Vulnerability,"" is different from CVE-2016-0060, CVE-2016-0061, CVE-2016-0067, and CVE-2016-0072.","av: N, ac: H, pr: N, ui: R, s: U, c: H, i: H, a: H",N,H,N,R,U,H,H,H
CVE-2016-0064,"Memory Corruption problem in Microsoft Internet Explorer 10 causes arbitrary code execution or denial of service when a user visits a crafted web site. This issue is also known as ""Internet Explorer Memory Corruption Vulnerability.""","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0067,"Memory Corruption in Microsoft Internet Explorer versions 9 through 11 causes arbitrary code execution or denial of service when a user visits a crafted website. This vulnerability, also known as ""Internet Explorer Memory Corruption Vulnerability,"" is distinct from CVE-2016-0060, CVE-2016-0061, CVE-2016-0063, and CVE-2016-0072. It allows remote attackers to exploit the software and potentially gain unauthorized access or disrupt services.","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0068,"The Same Origin Policy bypass vulnerability in Microsoft Internet Explorer versions 9 through 11 allows remote attackers to gain elevated privileges when unspecified vectors are exploited. This is also known as the ""Internet Explorer Elevation of Privilege Vulnerability,"" and is a different vulnerability than CVE-2016-0069.","av: N, ac: H, pr: H, ui: N, s: U, c: H, i: H, a: H",N,H,H,N,U,H,H,H
CVE-2016-0069,"The Elevation of Privilege vulnerability in Microsoft Internet Explorer versions 9 through 11 allows remote attackers to bypass the Same Origin Policy, leading to potential unauthorized access and data breach when unspecified vectors are exploited. This is a different vulnerability than CVE-2016-0068.","av: N, ac: H, pr: N, ui: R, s: U, c: H, i: H, a: H",N,H,N,R,U,H,H,H
CVE-2016-0070,"A Local Elevation of Privilege vulnerability in the kernel of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT 8.1, and Windows 10 Gold, 1511, and 1607 allows local users to gain unauthorized access and privileges when a crafted application makes an API call to access sensitive information in the registry. This is also known as ""Windows Kernel Local Elevation of Privilege Vulnerability."" The impact of this vulnerability is that it can potentially compromise the security of the system, allowing unauthorized users to access and manipulate sensitive data.","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0071,"Memory Corruption problem in Microsoft Internet Explorer 9 causes arbitrary code execution or denial of service when a user visits a crafted web site, also known as ""Internet Explorer Memory Corruption Vulnerability"".","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
CVE-2016-0072,"Memory Corruption in Microsoft Internet Explorer versions 9 through 11 causes arbitrary code execution or denial of service when a user visits a crafted website. This vulnerability, also known as ""Internet Explorer Memory Corruption Vulnerability,"" is distinct from CVE-2016-0060, CVE-2016-0061, CVE-2016-0063, and CVE-2016-0067.","av: N, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",N,L,N,R,U,H,H,H
